jeu,equipe,continent,region,joueur,pays,gains,logo
League of Legends,T1,Asie,Corée du Sud,Faker,Corée du Sud,1500000,t1.png,
League of Legends,T1,Asie,Corée du Sud,Zeus,Corée du Sud,400000,t1.png,
League of Legends,T1,Asie,Corée du Sud,Peanut,Corée du Sud,,t1.png,
League of Legends,Fnatic,Europe,UK,Rekkles,Suède,800000,Fnatic.png
League of Legends,Fnatic,Europe,UK,Selfmade,Pologne,350000,Fnatic.png
League of Legends,Fnatic,Europe,UK,Hylissang,Belgique,250000,Fnatic.png
Counter-Strike: Global Offensive,Astralis,Europe,Danemark,Dev1ce,Danemark,1200000,Astralis.png
Counter-Strike: Global Offensive,Astralis,Europe,Danemark,Xyp9x,Danemark,700000,Astralis.png
Counter-Strike: Global Offensive,Astralis,Europe,Danemark,Gla1ve,Danemark,600000,Astralis.png
Dota 2,OG,Europe,Région Europe,Fata-,Allemagne,950000,OG.png
Dota 2,OG,Europe,Région Europe,Ceb,France,500000,OG.png
Dota 2,OG,Europe,Région Europe,N0tail,Danemark,1200000,OG.png
Fortnite,Team Liquid,Amérique du Nord,USA,Myth,USA,700000,TeamLiquid.png
Fortnite,Team Liquid,Amérique du Nord,USA,LiquidChap,USA,300000,TeamLiquid.png
Call of Duty,Dallas Empire,Amérique du Nord,USA,Crimsix,USA,1300000,Dallas Empire.png
Call of Duty,Dallas Empire,Amérique du Nord,USA,Envoy,USA,400000,Dallas Empire.png
Overwatch,Seoul Dynasty,Asie,Corée du Sud,Profit,Corée du Sud,600000,Seoul Dynasty.png
Overwatch,Seoul Dynasty,Asie,Corée du Sud,Fleta,Corée du Sud,550000,Seoul Dynasty.png
Valorant,Sentinels,Amérique du Nord,USA,TenZ,Canada,1100000,Sentinels.png
Valorant,Sentinels,Amérique du Nord,USA,Zombs,USA,250000,Sentinels.png
League of Legends,G2 Esports,Europe,Europe occidentale,Perkz,Croatie,850000,G2 Esports.png
League of Legends,G2 Esports,Europe,Europe occidentale,Caps,Danemark,900000,G2 Esports.png
Counter-Strike: Global Offensive,Na'Vi,Europe,Ukraine,s1mple,Ukraine,1700000,Na'Vi.png
Counter-Strike: Global Offensive,Na'Vi,Europe,Ukraine,Egor,Ukraine,450000,Na'Vi.png
Dota 2,Team Secret,Europe,Région Europe,Puppey,Estonie,1050000,TeamSecret.png
Dota 2,Team Secret,Europe,Région Europe,Zai,Suède,400000,TeamSecret.png
Fortnite,FaZe Clan,Amérique du Nord,USA,MrSavage,USA,950000,FaZeClan.png
Fortnite,FaZe Clan,Amérique du Nord,USA,Clix,USA,350000,FaZeClan.png
Call of Duty,Atlanta FaZe,Amérique du Nord,USA,Cellium,USA,700000,AtlantaFaZe.png
Call of Duty,Atlanta FaZe,Amérique du Nord,USA,Arcitys,USA,450000,AtlantaFaZe.png
Overwatch,Shanghai Dragons,Asie,Chine,Luffy,Chine,500000,ShanghaiDragons.png
Overwatch,Shanghai Dragons,Asie,Chine,Diya,Chine,300000,ShanghaiDragons.png
Valorant,Cloud9,Amérique du Nord,USA,Skadoodle,USA,600000,Cloud9.png
Valorant,Cloud9,Amérique du Nord,USA,Subroza,Canada,200000,Cloud9.png
League of Legends,Cloud9,Amérique du Nord,USA,Nisqy,Belgique,400000,Cloud9.png
League of Legends,Cloud9,Amérique du Nord,USA,Blaber,USA,300000,Cloud9.png
Counter-Strike: Global Offensive,FaZe Clan,Europe,Europe occidentale,NiKo,Bosnie-Herzégovine,800000,FaZeClan.png
Counter-Strike: Global Offensive,FaZe Clan,Europe,Europe occidentale,Coldzera,Brasil,600000,FaZeClan.png
Dota 2,Evil Geniuses,Amérique du Nord,USA,Arteezy,Canada,1100000,EvilGeniuses.png   
Dota 2,Evil Geniuses,Amérique du Nord,USA,Suma1L,USA,900000,EvilGeniuses.png
Fortnite,100 Thieves,Amérique du Nord,USA,Buga,USA,1500000,100Thieves.png
Fortnite,100 Thieves,Amérique du Nord,USA,Kenith,USA,500000,100Thieves.png
Call of Duty,Chicago Huntsmen,Amérique du Nord,USA,Huke,USA,800000,ChicagoHuntsmen.png
Call of Duty,Chicago Huntsmen,Amérique du Nord,USA,Scump,USA,600000,ChicagoHuntsmen.png
League of Legends,Karmine Corp,Europe,France,Cabochard,France,300000,KarmineCorp.png
League of Legends,Karmine Corp,Europe,France,113,France,150000,KarmineCorp.png
League of Legends,Karmine Corp,Europe,France,Saken,France,250000,KarmineCorp.png
League of Legends,Karmine Corp,Europe,France,Targamas,Belgique,200000,KarmineCorp.png
League of Legends,Karmine Corp,Europe,France,Rekkles,Suède,800000,KarmineCorp.png
Valorant,Karmine Corp,Europe,France,Nivera,France,220000,KarmineCorp.png
Valorant,Karmine Corp,Europe,France,ScreaM,Belgique,300000,KarmineCorp.png
Valorant,Karmine Corp,Europe,France,xms,France,180000,KarmineCorp.png
Valorant,Karmine Corp,Europe,France,sh1n,France,150000,KarmineCorp.png
Valorant,Karmine Corp,Europe,France,newzera,France,170000,KarmineCorp.png
